gender,math score,reading score,writing score,attendance
male,72,64,63,0.57
male,42,39,34,0.87
female,73,80,82,0.55
female,76,83,88,0.21
female,71,71,74,0.43
female,58,70,67,0.3
female,73,86,82,0.27
female,65,72,74,0.62
male,27,34,36,0.93
male,71,79,71,0.17
male,43,45,50,0.77
female,79,86,92,0.25
male,78,81,82,0.32
male,65,66,62,0.35
female,63,72,70,0.61
female,58,67,62,0.81
female,65,67,62,0.13
male,79,67,67,0.73
male,68,74,74,0.8
female,85,91,89,0.69
male,60,44,47,0.44
male,98,86,90,0.49
female,58,67,72,0.95
female,87,100,100,0.94
male,66,63,64,0.42
female,52,76,70,0.79
female,70,64,72,0.22
female,77,89,98,0.93
male,62,55,49,0.5
male,54,53,47,0.18
female,51,58,54,0.4
female,99,100,100,0.16
male,84,77,74,0.65
female,75,85,82,0.59
female,78,82,79,0.3
female,51,63,61,0.34
female,55,69,65,0.43
female,79,92,89,0.36
male,91,89,92,0.24
female,88,93,93,0.19
male,63,57,56,0.59
male,83,80,73,0.53
female,87,95,86,0.37
male,72,68,67,0.36
male,65,77,74,0.35
male,82,82,74,0.41
female,51,49,51,0.82
male,89,84,82,0.36
male,53,37,40,0.67
male,87,74,70,0.95
female,75,81,84,0.78
male,74,79,75,0.86
male,58,55,48,0.64
male,51,54,41,0.84
male,70,55,56,0.44
female,59,66,67,0.6
male,71,61,69,0.97
female,76,72,71,0.1
female,59,62,64,0.9
female,42,55,54,0.58
male,57,43,47,0.2
male,88,73,78,0.16
female,22,39,33,0.77
male,88,84,75,0.22
male,73,68,66,0.96
female,68,75,81,0.86
male,100,100,93,0.31
male,62,67,69,0.46
male,77,67,68,0.69
female,59,70,66,0.66
male,54,49,47,0.3
male,62,67,61,0.99
female,70,89,88,0.47
female,66,74,78,0.55
male,60,60,60,0.94
female,61,86,87,0.93
male,66,62,64,0.44
male,82,78,74,0.58
female,75,88,85,0.99
male,49,53,52,0.77
male,52,53,49,0.84
female,81,92,91,0.32
female,96,100,100,0.55
male,53,51,51,0.83
female,58,76,78,0.81
female,68,83,78,0.31
female,67,75,70,0.97
male,72,73,74,0.45
male,94,88,78,0.76
female,79,86,81,0.34
female,63,67,70,0.14
female,43,51,54,0.22
female,81,91,87,0.83
female,46,54,58,0.11
female,71,77,77,0.87
female,52,70,62,0.8
female,97,100,100,0.56
male,62,68,75,0.32
female,46,64,66,0.12
female,50,50,47,0.44
female,65,69,70,0.39
male,45,52,49,0.83
male,65,67,65,0.95
male,80,76,65,0.85
male,62,66,68,0.35
male,48,52,45,0.21
female,77,88,87,0.31
female,66,65,69,0.68
male,76,83,79,0.5
female,62,64,66,0.33
male,77,62,62,0.52
female,69,84,85,0.76
male,61,55,52,0.9
male,59,69,65,0.7
male,55,56,51,0.24
female,45,53,55,0.57
female,78,79,76,0.67
female,67,84,86,0.36
female,65,81,77,0.44
male,69,77,69,0.26
female,57,69,68,0.68
male,59,41,42,0.33
male,74,71,78,0.68
male,82,62,62,0.81
male,81,80,76,0.6
female,74,81,76,0.73
female,58,61,66,0.17
male,80,79,79,0.15
male,35,28,27,0.9
female,42,62,60,0.47
male,60,51,56,0.89
male,87,91,81,0.57
male,84,83,75,0.65
female,83,86,88,0.11
female,34,42,39,0.34
male,66,77,70,0.87
male,61,56,56,0.82
female,56,68,74,0.88
male,87,85,73,0.91
female,55,65,62,0.15
male,86,80,75,0.41
female,52,66,73,0.82
female,45,56,54,0.31
female,72,72,71,0.58
male,57,50,54,0.78
male,68,72,64,0.63
female,88,95,94,0.25
male,76,64,66,0.58
male,46,43,42,0.81
female,67,86,83,0.95
male,92,87,78,0.53
male,83,82,84,0.93
male,80,75,77,0.31
male,63,66,67,0.76
female,64,60,74,0.93
male,54,52,51,0.75
male,84,80,80,0.13
male,73,68,66,0.42
female,80,83,83,0.88
female,56,52,55,0.97
male,59,51,43,0.6
male,75,74,69,0.96
male,85,76,71,0.18
male,89,76,74,0.86
female,58,70,68,0.88
female,65,64,62,0.41
male,68,60,53,0.97
male,47,49,49,0.96
female,71,83,83,0.36
female,60,70,70,0.52
male,80,80,72,0.53
male,54,52,52,0.71
female,62,73,70,0.77
female,64,73,68,0.11
male,78,77,77,0.9
female,70,75,78,0.92
female,65,81,81,0.5
female,64,79,77,0.97
male,79,79,78,0.36
female,44,50,51,0.77
female,99,93,90,0.8
male,76,73,68,0.71
male,59,42,41,0.37
female,63,75,81,0.44
female,69,72,77,0.59
female,88,92,95,0.21
female,71,76,70,0.72
male,69,63,61,0.83
male,58,49,42,0.32
female,47,53,58,0.53
female,65,70,71,0.41
male,88,85,76,0.64
male,83,78,73,0.43
female,85,92,93,0.92
female,59,63,75,0.67
female,65,86,80,0.76
male,73,56,57,0.52
male,53,52,42,0.58
male,45,48,46,0.16
female,73,79,84,0.65
female,70,78,78,0.87
female,37,46,46,0.11
male,81,82,82,0.5
male,97,82,88,0.33
female,67,89,82,0.3
male,88,75,76,0.86
male,77,76,77,0.44
male,76,70,68,0.55
male,86,73,70,0.37
male,63,60,57,0.24
female,65,73,75,0.91
male,78,77,80,0.93
male,67,62,60,0.68
male,46,41,43,0.67
male,71,74,68,0.22
male,40,46,50,0.52
male,90,87,75,0.45
male,81,78,81,0.68
male,56,54,52,0.25
female,67,84,81,0.63
male,80,76,64,0.54
female,74,75,83,0.47
male,69,67,69,1.0
male,99,87,81,0.39
male,51,52,44,0.35
female,53,71,67,0.38
female,49,57,52,0.65
female,73,76,80,0.18
male,66,60,57,0.3
male,67,61,68,0.38
female,68,67,69,0.61
female,59,64,75,0.86
male,71,66,65,0.58
female,77,82,91,0.85
male,83,72,78,0.86
male,63,71,69,0.32
female,56,65,63,0.28
female,67,79,84,0.79
female,75,86,79,0.54
female,71,81,80,0.23
female,43,53,53,0.69
female,41,46,43,0.94
female,82,90,94,0.34
male,61,61,62,0.36
male,28,23,19,0.53
male,82,75,77,0.25
female,41,55,51,0.17
male,71,60,61,0.44
male,47,37,35,0.67
male,62,56,53,0.31
male,90,78,81,0.55
female,83,93,95,0.97
female,61,68,66,0.57
male,76,70,69,0.23
male,49,51,43,0.74
female,24,38,27,0.53
female,35,55,60,0.78
male,58,61,52,0.75
female,61,73,63,0.19
female,69,76,74,0.57
male,67,72,67,0.34
male,79,73,67,0.44
female,72,80,75,0.35
male,62,61,57,0.68
female,77,94,95,0.85
male,75,74,66,0.74
male,87,74,76,0.54
female,52,65,69,0.37
male,66,57,52,0.23
female,63,78,80,0.98
female,46,58,57,0.7
female,59,71,70,0.18
female,61,72,70,0.47
male,63,61,61,0.48
female,42,66,69,0.35
male,59,62,61,0.85
female,80,90,89,0.72
female,58,62,59,0.84
male,85,84,78,0.27
female,52,58,58,0.94
female,27,34,32,0.56
male,59,60,58,0.65
male,49,58,60,0.52
male,69,58,53,0.84
male,61,66,61,0.7
female,44,64,58,0.69
female,73,84,85,0.86
male,84,77,71,0.65
female,45,73,70,0.8
male,74,74,72,0.5
female,82,97,96,0.59
female,59,70,73,0.43
male,46,43,41,0.76
female,80,90,82,0.9
female,85,95,100,0.15
female,71,83,77,0.35
male,66,64,62,0.9
female,80,86,83,0.62
male,87,100,95,0.85
male,79,81,71,0.22
female,38,49,45,0.28
female,38,43,43,0.61
female,67,76,75,0.81
female,64,73,70,0.4
female,57,78,67,0.79
female,62,64,64,0.61
male,73,70,75,0.89
male,73,67,59,0.57
female,77,68,77,0.67
male,76,67,67,0.51
male,57,54,56,0.45
female,65,74,77,0.53
male,48,45,41,0.96
female,50,67,63,0.53
female,85,89,95,0.48
male,74,63,57,0.7
male,60,59,54,0.97
female,59,54,67,0.39
male,53,43,43,0.52
female,49,65,55,0.35
female,88,99,100,0.31
female,54,59,62,0.81
female,63,73,68,0.64
male,65,65,63,0.59
female,82,80,77,0.28
female,52,57,56,0.11
male,87,84,85,0.93
female,70,71,74,0.41
male,84,83,78,0.46
male,71,66,60,0.34
male,63,67,67,0.31
female,51,72,79,0.27
male,84,73,69,0.4
male,71,74,68,0.38
male,74,73,67,0.92
male,68,59,62,0.86
male,57,56,54,0.29
female,82,93,93,0.28
female,57,58,64,0.82
female,47,58,67,0.72
female,59,85,80,0.43
male,41,39,34,0.48
female,62,67,62,0.33
male,86,83,86,0.97
male,69,71,65,0.78
male,65,59,53,0.57
male,68,63,54,0.15
male,64,66,59,0.47
female,61,72,70,0.6
male,61,56,55,0.85
female,47,59,50,0.77
male,73,66,66,0.8
male,50,48,53,0.68
male,75,68,64,0.45
male,75,66,73,0.78
male,70,56,51,0.92
male,89,88,82,0.53
female,67,81,79,0.9
female,78,81,80,0.39
female,59,73,69,0.39
female,73,83,76,0.58
male,79,82,73,0.79
female,67,74,77,0.24
male,69,66,60,0.74
male,86,81,80,0.27
male,47,46,42,0.72
male,81,73,72,0.37
female,64,85,85,0.72
female,100,92,97,0.74
female,65,77,74,0.89
male,65,58,49,0.61
female,53,61,62,0.86
male,37,56,47,0.83
female,79,89,89,0.96
male,53,54,48,0.99
female,100,100,100,0.33
male,72,65,68,0.27
male,53,58,55,0.84
male,54,54,45,0.25
female,71,70,76,0.63
female,77,90,91,0.47
male,75,58,62,0.54
female,84,87,91,0.39
female,26,31,38,0.5
male,72,67,65,0.55
female,77,88,85,0.21
male,91,74,76,0.22
female,83,85,90,0.63
female,63,69,74,0.27
female,68,86,84,0.78
female,59,67,61,0.31
female,90,90,91,0.55
female,71,76,83,0.19
male,76,62,66,0.73
male,80,68,72,0.54
female,55,64,70,0.55
male,76,71,67,0.7
male,73,71,68,0.56
female,52,59,56,0.91
male,68,68,61,0.18
male,59,52,46,0.39
female,49,52,54,0.98
male,70,74,71,0.88
male,61,47,56,0.64
female,60,75,74,0.88
male,64,53,57,0.65
male,79,82,82,0.86
female,65,85,76,0.93
female,64,64,70,0.15
female,83,83,90,0.9
female,81,88,90,0.17
female,54,64,68,0.68
male,68,64,66,0.24
female,54,48,52,0.63
female,59,78,76,0.72
female,66,69,68,0.29
male,76,71,72,0.7
female,74,79,82,0.84
female,94,87,92,0.49
male,63,61,54,0.86
female,95,89,92,0.71
female,40,59,54,0.69
female,82,82,80,0.19
male,68,70,66,0.19
male,55,59,54,0.97
male,79,78,77,0.61
female,86,92,87,0.87
male,76,71,73,0.26
male,64,50,43,0.34
male,62,49,52,0.53
female,54,61,62,0.45
female,77,97,94,0.45
female,76,87,85,0.78
female,74,89,84,0.48
female,66,74,73,0.42
female,66,78,78,0.49
female,67,78,79,0.38
male,71,49,52,0.52
female,91,86,84,0.94
male,69,58,57,0.32
male,54,59,50,0.57
male,53,52,49,0.94
male,68,60,59,0.19
male,56,61,60,0.94
female,36,53,43,0.49
female,29,41,47,0.53
female,62,74,70,0.34
female,68,67,73,0.2
female,47,54,53,0.7
male,62,61,58,0.54
female,79,88,94,0.12
male,73,69,68,0.63
female,66,83,83,0.13
male,51,60,58,0.23
female,51,66,62,0.16
male,85,66,71,0.24
male,97,92,86,0.65
male,75,69,68,0.65
male,79,82,80,0.79
female,81,77,79,0.54
female,82,95,89,0.4
female,64,63,66,0.32
male,78,83,80,0.99
female,92,100,97,0.67
male,72,67,64,0.73
female,62,67,64,0.38
male,79,72,69,0.63
male,79,76,65,0.79
male,87,90,88,0.96
female,40,48,50,0.27
male,77,62,64,0.19
male,53,45,40,0.18
female,32,39,33,0.7
female,55,72,79,1.0
male,61,67,66,0.65
female,53,70,70,0.49
male,73,66,62,0.17
female,74,75,79,0.62
female,63,74,74,0.56
male,96,90,92,0.32
female,63,80,80,0.76
male,48,51,46,0.9
male,48,43,45,0.65
female,92,100,100,0.7
female,61,71,78,0.31
male,63,48,47,0.41
male,68,68,67,0.29
male,71,75,70,0.55
male,91,96,92,0.28
female,53,62,56,0.33
female,50,66,64,0.16
female,74,81,71,0.44
male,40,55,53,0.38
male,61,51,52,0.83
female,81,91,89,0.3
female,48,56,58,0.6
female,53,61,68,0.61
female,81,97,96,0.77
female,77,79,80,0.2
female,63,73,78,0.88
female,73,75,80,0.6
female,69,77,77,0.29
female,65,76,76,0.7
female,55,73,73,0.59
female,44,63,62,0.36
female,54,64,65,0.95
female,48,66,65,0.96
male,58,57,54,0.92
male,71,62,50,0.25
male,68,68,64,0.98
female,74,76,73,0.29
female,92,100,99,0.91
female,56,79,72,0.46
male,30,24,15,0.75
male,53,54,48,0.54
female,69,77,73,0.27
female,65,82,81,0.14
female,54,60,63,0.78
female,29,29,30,0.45
female,76,78,80,0.19
male,60,57,51,0.98
male,84,89,90,0.32
male,75,72,62,0.81
female,85,84,82,0.95
female,40,58,54,0.37
female,61,64,62,0.32
female,58,63,65,0.45
male,69,60,63,0.68
female,58,59,66,0.37
male,94,90,91,0.8
female,65,77,74,0.2
female,82,93,93,1.0
female,60,68,72,0.97
female,37,45,38,0.84
male,88,78,83,0.44
male,95,81,84,0.79
male,65,73,68,0.22
female,35,61,54,0.93
male,62,63,56,0.32
male,58,51,52,0.63
male,100,96,86,0.85
female,61,58,62,0.9
male,100,97,99,0.24
male,69,70,63,0.48
male,61,48,46,0.84
male,49,57,46,0.47
female,44,51,55,0.43
male,67,64,70,0.79
male,79,60,65,0.7
female,66,74,81,0.62
female,75,88,85,0.13
male,84,84,80,0.37
male,71,74,64,0.98
female,67,80,81,0.61
female,80,92,88,0.57
male,86,76,74,0.24
female,76,74,73,0.63
male,41,52,51,0.46
female,74,88,90,0.16
female,72,81,79,0.75
female,74,79,80,0.87
male,70,65,60,0.59
female,65,81,81,0.93
female,59,70,65,0.47
female,64,62,68,0.91
female,50,53,55,0.46
female,69,79,81,0.78
male,51,56,53,0.92
female,68,80,76,0.74
female,85,86,98,0.85
female,65,70,74,0.96
female,73,79,79,0.45
female,62,67,67,0.72
male,77,67,64,0.56
male,69,66,61,0.69
female,43,60,58,0.96
male,90,87,85,0.68
male,74,77,73,0.94
male,73,66,63,0.24
female,55,71,69,0.77
female,65,69,67,0.4
male,80,63,63,0.19
female,50,60,60,0.64
female,63,73,71,0.59
female,77,85,87,1.0
male,73,74,61,0.58
male,81,72,77,0.3
female,66,76,68,0.34
male,52,57,50,0.4
female,69,78,76,0.24
female,65,84,84,0.59
female,69,77,78,0.25
female,50,64,66,0.23
female,73,78,76,0.53
female,70,82,76,0.17
male,81,75,78,0.89
male,63,61,60,0.72
female,67,72,74,0.96
male,60,68,60,0.73
male,62,55,54,0.97
female,29,40,44,0.81
male,62,66,68,0.88
female,94,99,100,0.74
male,85,75,68,0.61
male,77,78,73,0.83
male,53,58,44,0.73
male,93,90,83,0.14
female,49,53,53,0.81
female,73,76,78,0.78
female,66,74,81,0.74
female,77,77,73,0.51
female,49,63,56,0.37
female,79,89,86,0.9
female,75,82,90,0.69
female,59,72,70,0.22
female,57,78,79,0.97
male,66,66,59,0.9
female,79,81,82,0.3
female,57,67,72,0.41
male,87,84,87,0.3
female,63,64,67,0.17
female,59,63,64,0.55
male,62,72,65,0.36
male,46,34,36,0.92
male,66,59,52,0.85
male,89,87,79,0.22
female,42,61,58,0.27
male,93,84,90,0.91
female,80,85,85,0.42
female,98,100,99,0.6
male,81,81,84,0.79
female,60,70,74,0.92
female,76,94,87,0.14
male,73,78,72,0.11
female,96,96,99,0.11
female,76,76,74,0.3
male,91,73,80,0.25
female,62,72,70,0.5
male,55,59,59,0.42
female,74,90,88,0.12
male,50,48,42,0.5
male,47,43,41,0.65
male,81,74,71,0.33
female,65,75,77,0.73
male,68,51,57,0.63
female,73,92,84,0.63
male,53,39,37,0.36
female,68,77,80,0.83
male,55,46,43,0.81
female,87,89,94,0.73
male,55,47,44,0.45
female,53,58,57,0.29
male,67,57,59,0.55
male,92,79,84,0.87
female,53,66,73,0.68
male,81,71,73,0.86
male,61,60,55,0.57
male,80,73,72,0.81
female,37,57,56,0.67
female,81,84,82,0.96
female,59,73,72,0.71
male,55,55,47,0.39
male,72,79,74,0.63
male,69,75,71,0.58
male,69,64,68,0.87
female,50,60,59,0.34
male,87,84,86,0.4
male,71,69,68,0.58
male,68,72,65,0.73
male,79,77,75,0.5
female,77,90,85,0.54
male,58,55,53,0.55
female,84,95,92,0.84
male,55,58,52,0.93
male,70,68,72,0.34
female,52,59,65,0.29
male,69,77,77,0.23
female,53,72,64,0.64
female,48,58,54,0.23
male,78,81,86,0.14
female,62,62,63,0.86
male,60,63,59,0.38
female,74,72,72,0.99
female,58,75,77,0.58
male,76,62,60,0.44
female,68,71,75,0.64
male,58,60,57,0.42
male,52,48,49,0.26
male,75,73,74,0.17
female,52,67,72,0.82
female,62,78,79,0.15
male,66,65,60,0.92
female,49,58,55,0.53
female,66,72,70,0.37
female,35,44,43,0.26
female,72,79,82,0.17
male,94,85,82,0.2
female,46,56,57,0.77
female,77,90,84,0.58
female,76,85,82,0.64
female,52,59,62,0.49
male,91,81,79,0.95
female,32,51,44,0.56
female,72,79,77,0.69
female,19,38,32,0.2
male,68,65,61,0.58
female,52,65,61,0.51
female,48,62,60,0.23
female,60,66,70,0.49
male,66,74,69,0.66
male,89,84,77,0.2
female,42,52,51,0.64
female,57,68,73,0.33
male,70,70,70,0.31
female,70,84,81,0.93
male,69,60,54,0.26
female,52,55,57,0.72
male,67,73,68,0.81
male,76,80,73,0.77
female,87,94,95,0.27
female,82,85,87,0.2
female,73,76,78,0.56
male,75,81,74,0.89
female,64,74,75,0.32
female,41,45,40,0.74
male,90,75,69,0.33
male,59,54,51,0.12
male,51,31,36,0.45
male,45,47,49,0.38
female,54,64,67,0.2
male,87,84,76,0.98
female,72,80,83,0.93
male,94,86,87,0.49
female,45,59,64,0.21
male,61,70,76,0.55
female,60,72,68,0.85
female,77,91,88,0.53
female,85,90,92,0.95
female,78,90,93,0.21
male,49,52,51,0.48
female,71,87,82,0.34
female,48,58,52,0.18
male,62,67,58,1.0
female,56,68,70,0.82
female,65,69,76,0.94
female,69,86,81,0.68
male,68,54,53,0.1
female,61,60,57,0.93
female,74,86,89,0.41
male,64,60,58,0.64
female,77,82,89,0.71
male,58,50,45,0.79
female,60,64,74,0.88
male,73,64,57,0.23
female,75,82,79,0.5
male,58,57,53,0.91
female,66,77,73,0.67
female,39,52,46,0.81
male,64,58,51,0.77
female,23,44,36,0.82
male,74,77,76,1.0
female,40,65,64,0.16
male,90,85,84,0.13
male,91,85,85,0.68
male,64,54,50,0.38
female,59,72,68,0.92
male,80,75,69,0.6
male,71,67,67,0.84
female,61,68,63,0.94
female,87,85,93,0.17
male,82,67,61,0.93
male,62,64,55,0.52
female,97,97,96,0.76
male,75,68,65,0.68
female,65,79,81,0.14
male,52,49,46,0.73
male,87,73,72,0.36
female,53,62,53,0.49
female,81,86,87,0.74
male,39,42,38,0.22
female,71,71,80,0.44
male,97,93,91,0.53
male,82,82,88,0.44
male,59,53,52,0.14
male,61,42,41,0.91
male,78,74,72,0.96
male,49,51,51,0.23
male,59,58,47,0.8
female,70,72,76,0.49
male,82,84,78,0.97
male,90,90,82,0.97
female,43,62,61,0.75
male,80,64,66,0.16
male,81,82,84,0.47
male,57,61,54,0.43
female,59,72,80,0.64
female,64,76,74,0.21
male,63,64,66,0.98
female,71,70,70,0.61
female,64,73,71,0.77
male,55,46,44,0.36
female,51,51,54,0.5
female,62,76,80,0.16
female,93,100,95,0.12
male,54,72,59,0.44
female,69,65,74,0.37
male,44,51,48,0.13
female,86,85,91,0.37
female,85,92,85,0.58
female,50,67,73,0.51
male,88,74,75,0.24
female,59,62,69,0.63
female,32,34,38,0.35
male,36,29,27,0.84
female,63,78,79,0.78
male,67,54,63,0.75
female,65,78,82,0.63
male,85,84,89,0.6
female,73,78,74,0.89
female,34,48,41,0.62
female,93,100,100,0.55
female,67,84,84,0.65
male,88,77,77,0.16
male,57,48,51,0.7
female,79,84,91,0.36
female,67,75,72,0.95
male,70,64,70,0.84
male,50,42,48,0.86
female,69,84,82,0.67
female,52,61,66,0.66
female,47,62,66,0.11
female,46,61,55,0.43
female,68,70,66,0.96
male,100,100,100,0.46
female,44,61,52,0.88
female,57,77,80,0.29
male,91,96,91,0.12
male,69,70,67,0.49
female,35,53,46,0.48
male,72,66,66,0.2
female,54,65,65,0.73
male,74,70,69,0.35
male,74,64,60,0.35
male,64,56,52,0.27
female,65,61,71,0.74
male,46,43,44,0.47
female,48,56,51,0.95
male,67,74,70,0.79
male,62,57,62,0.25
male,61,71,73,0.74
male,70,75,74,0.53
male,98,87,90,0.71
male,70,63,58,0.9
male,67,57,53,0.86
female,57,58,57,0.71
male,85,81,85,0.88
male,77,68,69,0.11
male,72,66,72,0.76
female,78,91,96,0.98
male,81,66,64,0.64
male,61,62,61,0.66
female,58,68,61,0.32
female,54,61,58,0.29
male,82,82,80,0.24
female,49,58,60,0.76
male,49,50,52,0.18
female,57,75,73,0.39
male,94,73,71,0.25
female,75,77,83,0.91
female,74,74,72,0.7
male,58,52,54,0.72
female,62,69,69,0.54
male,72,57,62,0.88
male,84,87,81,0.41
female,92,100,100,0.17
female,45,63,59,0.54
male,75,81,71,0.16
female,56,58,64,0.95
female,48,54,53,0.73
female,100,100,100,0.88
female,65,76,75,0.34
male,72,57,58,0.8
female,62,70,72,0.17
male,66,68,64,0.97
male,63,63,60,0.21
female,68,76,67,0.56
female,75,84,80,0.33
female,89,100,100,0.24
male,78,72,69,0.21
female,53,50,60,0.87
female,49,65,61,0.62
female,54,63,67,0.74
female,64,82,77,0.22
male,60,62,60,0.62
male,62,65,58,0.26
male,55,41,48,0.8
female,91,95,94,0.8
female,8,24,23,0.83
male,81,78,78,0.85
male,79,85,86,0.26
female,78,87,91,0.49
female,74,75,82,0.5
male,57,51,54,0.3
female,40,59,51,0.65
male,81,75,76,0.13
female,44,45,45,0.57
female,67,86,83,0.66
male,86,81,75,0.23
female,65,82,78,0.56
female,55,76,76,0.39
female,62,72,74,0.35
male,63,63,62,0.56
female,88,99,95,0.51
male,62,55,55,0.16
female,59,71,65,0.58
female,68,78,77,0.33
female,77,86,86,0.68
